Habituality,Sentence,POS1,POS2,POS3,POS4,POS5,POS6,A1,A2,A3,A4,A5,SynPar1,SynPar2,SynPar3,SynPar4,R1
1,"I- I know I hear that a lot from most northern people who be freaking out.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
-1,"Well maybe that- yeah, that might be Jersey.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,"that's a na-  when somebody says something to someone, like I be - I hang out with a lot of males, Okay.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1,"And they be like, nah, what he said was, he was about to go over here and pick up this person, then he was gonna come back over here,  Mm, yeah.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"I used to be like, oh okay, cool, cool, cool, cool.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Like and this is when he was sober, I used to be like, what did he just say?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"People think they can't do things just because they don't- if you- p- if you train your body to get used to something you'll be able to build up a tolerance for it, just like people say, oh I don't drink, but you see everybody else is drinking.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"And for them to say, oh, be careful of the sun.
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"I- I wanna say that they said it's supposed to be another one coming in a few years.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"We'll be inside.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"This probably be the last follow-up question before I have you read maybe one or two passages.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,"Now when females say, y'all be like,  We get upset when females say it  is that a boy?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"There's a no say-   Nah, but that- that- that bruh definitely can, um, be perfect for a lot of scenarios definitely.
",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"Um, my mom used to be a school teacher, and then when she came to the States, she, um, became a RN.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"You go to American- an American all white party might be different type of music.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"Um, I didn't like it at first because I didn't know anybody and I didn't wanna be here.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"I mean I could walk, but I'd be dead by the time I get there .
",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
-1,"might be too tall for it, but we'll try.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"And it would just be like- you know, old times.
",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,"It would be fun.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"So it be easy for you to maneuver in it, but if you're playing like a regular you know like, regular costume, you're not gonna really know, like- You- you might see a guy, but you're not gonna notice what he has on because it's only almost- The guys are just shirtless with shorts and like Mm-hm.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"I can't speak on something I don't know because we weren't there when you know, he approached these females, or whatever the case may be.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,"A lot of stuff be on record too, so.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"Like True Blood, that used to be my show.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"I mean the money's gonna be good too, but, um, I've been working where old- with older people Mm-hm.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Like- I mean they at- at some point in life, that's gonna be me, you know.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"Let's see, do you, um, Don't be stupid.
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,"Um, Be a plug.
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,"I be like, you dragging like, you doing too much, basically.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Um, what else,  be.
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1,"Yeah, it's about to be a movie.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,"Like my best friend, I be hearing her say it, but she won't say it like bruh.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"But she be like bruh, or bro.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Um, sometimes they be rude like, the other day, I was at the store, Mm-hm.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Let's see, Or they be like what you finna do?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"Oh, you don't- you don't even like to be called ma'am?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Don't be talking about that.
",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,"no but-   I- yeah d- I be putting that on job applications and everything, bruh, like  Okay.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
-1,"Might be in some shit.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"There will be some shit with it.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,"That shit be like together, like a rock.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"So this shit should be pretty interesting.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"In the first block, it be like kind of told us like, lunch is starting, you know what I'm saying, in second block.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"I'd be like, man fuck that.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"By the time lunch start, you know what I'm saying, I could be coming back to school from fucking, you know what I'm saying, so.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"I just like damn, I- I must be bad as fuck.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"And that shit mighta not even be right, like I might not even had the right kind of shirt on for that shit, like  Mm-hm.
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"It just be a black shirt, like I'm trying.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,"I would be good, you know what I'm saying.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"Like I would be surviving cause I pass all my tests when I s- I show up and pass the test.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"They be, how the fuck did you do this?
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
-1,"I'm finna be late.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"It- the difference is like, on the east side, bruh, it might be a fuck nigga, and you just know.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,"Do you ever be on the west side of Atlanta?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,"Some niggas be intimidated.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"you  just gonna know you a bitch, and you'll be treated like a bitch.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"You know what I'm saying, like we just be kicking shit though like, Mm-hm.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
-1,"You gotta be able to come back with the shit, you know what I'm saying.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Other than that, bruh, we just be smoking jay, you know what I'm saying, chilling, bruh.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"It be everywhere.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,"It be everywhere, bruh.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-1,"Yeah, bruh, I wasn't cut out to be a janitor.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,"It's like a- it- i- i- it- it's like even with the meanings that be in it like the the color and the rest- I love it, you know what I'm saying.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"And, um, you would be the- considered the middle child?
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"That'd be a hell of a life.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,"inaudible But that bacon be calling me.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"Sure, they be bustling.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"Shit, I cook hot shit, where you be like, damn you made this?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"And, you know what I'm saying, like we'll be in there, we'll go hot box.
",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,"I go in there and I- I be like, shit, cool well I'm finna cook something.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"They be like, whatchu gonna cook, bruh?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"She'll be here in couple weeks.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Um, whatchu be watching, um, movie or mu- um, TV wise?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-1,"That shit just gotta be good.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Do you even know when they supposed to be bringing it back?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"That shit should be coming back soon.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"I will be the .
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"I- man, I might be stretching it with twelve, bruh.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"You might be stretching it with twelve?
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"Them shits be evil, nigga.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,"They do be having some good, um, d- life teaching lessons and stuff, you know what I mean Yeah, bruh.
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,"It be a lot of- whole lot of  fuck shit on certain channels, like- like certain shows, bruh.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1,"You don't even rock Jays like, you seem like the dude who wouldn't even be rocking Jays like that.
",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
-1,"Not really, but I could be.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,"You know, every-  like everything wasn't in my will to be how it is right now.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"So it was just like, you know, I had other siblings, but I didn't have the time to ha- have 'em all under my wing, and me be able to touch them all how I want to Ooh.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-1,"I think it's very okay to be a weirdo.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"I- honestly, I feel like in this generation, I think it's more- it's way cooler to be a weirdo now.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"S- it's something to be proud of.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"You gotta really be somebody to take it there cause some people scared to take it there with the poetry shit.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"So you just saying things- you saying- you saying whatever- it- it may be - you may use poetic terms, you know, things like that to make it sound like a actual poem, but like Mm-hm.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,"You know, but then- Yeah, like I'm tryna- like anything can be a poem if that's the case though, right?
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,"Gonna be rich.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"You know, if you gonna do something that's, you know, outside of going to college and, you know, going to outside the norm, m- well might as well be great at it.
",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"gotta be around 'em, gotta find out.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"But I don't be like- What else?
",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,"So even if somebody- some kids did come to them, be like, oh,  like, get out of here, little nigga, or some shit like that, Oh yeah.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,"Well, I mean, you know, That shouldn't even be too- that is true that, you know, everybody got n- different- yeah, that's real shit.
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"I wasn't supposed to be on that basketball team.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"I was supposed to be on the football team.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"yeah, they be chop blocking.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"So when- when- you can only be surprised on how- how surprised people were Okay.
",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,"cause they already- they looking for me to be a certain person.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"And they don't- they don't even think about I'm- I'm bound to be great in something else Mm-hm.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"the basketball stars is probably definitely getting paid more than the, um, theater stars in high school, Honestly, bruh, you know  I'm paving the way so that way, I can be on some Will and Jada, uh, new- real- Will and Jalen shit.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"That'd be lit.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"That's- That's what I'm aiming for cause I'm- that's what parenting is supposed to be, bruh.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"It's my foundation to be able to have opportunity to do more cause once I'm known as a Yeah.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"hip hop artist and a legit hip hop artist, then other people are gonna be coming at us with opportunities of what we can do Mm-hm.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Because they hear our shit, and they be like, okay, this is hot.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"We may be fishing for one type of person, and they competitors might hit us up.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"I be like, yeah I want the- I want the authentic god damn  Authentic?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Why Gatorade bottles don't be coming like this for real for real?
",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
-1,"Out of the night that covers me, black as the pit from pole to pole, I thank whatever gods may be for my unconquerable soul.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"be in touch after this interview, and, um, it's Salman, and I'm signing off.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"I'm gonna be in- ducting this interview, or conducting this interview with Mr. Crystalina.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"This is basically what's gonna be the end result as to, Mm-hm.
",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-1,"you know, what you are and, you know, what you're destined to be.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"pizza, hot do- I don't be - I don't do all the- the- the- the- Fancy shit.
",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,"and so they'll like have like a- like a seafood platter out, and I be like, this is cool, but I can't eat this.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"it's a- you oughta be playing in the NFL, whole time, he is,  you know what I'm saying.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"just running, like the bottom of your soles under your foot should just be bleeding just out, like how Yes.
",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
-1,"is that a normal thing for a human being to be able to do?
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Cause after a while, when Jordan keep hitting them shots, LeBron gonna find some excuse, or he gonna be like, man, you know what, this is Jordan.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"It's always gonna be that factor, like Jordan is going to win- he's going- a- and that's another reason why I exp- I respect Kobe so much, cause he the same way.
",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,"But LeBron be passing though.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-1,"Yeah, that's- that's another thing, his killer instinct, he doesn't- he d- i- Kob- I'm rememb- uh, Oh, you- you think it's a problem for LeBron to be - like cause I always thought Michael Jordan was cool, but I didn't think he passed the ball enough.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"You supposed to be - wasn't- this that- and then you- and you can see it- Mm.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,"And everybody ready to go with you, and you be like, nah I'm not going there no more.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"they gonna come to that portion after the MVP, after, you know, the next season, they gonna be like w- well- well you- you were on the Thunder and you lost to the Warriors.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"they be shitting on 'em.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
-1,"The Clippers are always gonna be terrible because they're second LA.
",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"My grandmother s- she had the- her father had like a Portland Trail Blazer like jersey on, and sh- my grandma said she- they must be Trail Blazer fans.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,"It's time- look, you gonna have to be quiet now.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Yeah, yeah, yeah,  do be taking it too long.
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1,"And then- but live is supposed to be doing some good stuff this year, so I'm really hoping that they- they come through.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"We- we need a video  talking about the over anxious douchebag, They be - yeah.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1,"You be like, bruh.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"And you be like, bruh, hold on, man, like come on, man.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Why  But they'll flirt with you all day, and they g- ah yeah,  you- and you be like, okay, so yeah what's u- ah s- nuh-uh, no no no boo boo.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"You be like, damn bro, like you- you was just- You was just giving me the play.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"And then down here, like people be all loved up and damn near making love in the cafeteria, tonguing each other down.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"You be like, oh that's your girlfriend?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"If anybody come to you, don't be like on some, I don't know, just do a yup.
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,"Like she be like, oh you always aks me about this purple, cause you a Blood, and you j- a slob ass.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-1,"She said, well if you break up with me, it's gonna be hell for you.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"Yeah, I'm inaudible You ain't always gotta be that nigga- I'll fight anybody.
",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-1,"Like   it can't be that deep.
",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,"Yeah, she would always s- be like on like the disrespectful shit.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"And I be like, uh, I ain't tryna hear that.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"Yeah, we just chilling, supposed to be me and you baby.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"But I was like, Ain't the, um, the Grape Street thing, that thing Soulja Boy be talking about or something?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"Ah, g- Soulja Boy be claiming he from Fruit Town Piru.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-1,"You gotta know who you gonna be around and what you can wear and what you can't wear.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Gated school- your school has to be gated.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"School gotta be gated.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Everything gotta be outdoors.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Uh, your backpack has to be either clear or mesh.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"Yeah, don't even try to be cool.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Ain't no other way to be, and when- when you returning?
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"So if it came down to it, and you- you know, you in the midst of your interview let's say with like Zane Lowe or Sway or somebody like that, um, what's gonna be the first one that comes out your mouth as far as you repping?
",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-1,"It's gonna be Alabama, huh?
",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-1,"Yeah, we used to be w- uh, Rogerick Cason Oh shit, probably, possibly.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"I would be hiring chicks like that too.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"Man, what- how d- what i- what i- what- I don't know, where did the wisdom come from, to where you can be like, you know what, I'm'a help this guy at times.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"I be on that bougie shit- Ay nigga, I'm letting you know, I'm packing these bitches.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
-1,"Have you, um, encountered any, um, I guess people within the- the music business that you felt like you had that type of relationship with, and then, um, I guess you, um, came to the realization that that might not actually be the case stuff from  Could you repeat that question one more time?
",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,"in the music industry business-wise you've worked with that, um, you felt like you've compensated them or you're- you know, you're willing to compensate them now to, um, be compensated later on in the future, and I guess maybe the opportunity came around and that didn't, um, come across as such or whatever?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"But takes a lot of planning and a lot of people to be on board to try to pull that off, and, you know, who really cares about trying to go to them type of things now and stuff.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"That'll probably be so lit too.
",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,"I- I give you that, you know, your own inclination whatever that be, so you're a god.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
-1,"But I don't wanna be that type of dad.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"I wanna be able to fully develop some time into my kids.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"And I be thinking like, damn, maybe I gotta get on this bitch just so I can give that type of answer because it's some real niggas out here, and I don't- some of this stuff, I don't see represents me thoroughly I would say, especially when it comes to some of these Atlanta rappers' mindsets.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"You never, um, thought that, um, coming across too smart might, um, enable you or s- be to your detriment of your music career?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
